Location,Latitude,Longitude
Upper Mt Gravatt_EGX_20202021.csv,-25.94379095,152.9801698
Varsity Lakes_EGX_20202021.csv,-27.47462303,153.1306
Victoria Park_EGX_20202021.csv,-27.06295682,152.3906917
Victoria Point_EGX_20202021.csv,-27.06924315,153.1313467
Wacol South_EGX_20202021.csv,-27.4810075,152.9841265
Wacol_EGX_20202021.csv,0,0
Wamuran_EGX_20202021.csv,-28.07970622,153.4095572
Wellington Rd_EGX_20202021.csv,-27.45177293,153.028125
West End_EGX_20202021.csv,-27.58758755,153.2826487
West Maroochydore_EGX_20202021.csv,-27.60464701,152.9336302
Whinstanes_EGX_20202021.csv,-27.59089255,152.931605
Whiteside_EGX_20202021.csv,-27.03528451,152.8555747
Wivenhoe_EGX_20202021.csv,-27.48493035,153.0406587
Woodford_EGX_20202021.csv,-27.47562511,153.0127315
Woodridge_EGX_20202021.csv,-26.66393605,153.0502415
Wynnum_EGX_20202021.csv,-27.42876958,153.0900586
Yamanto_EGX_20202021.csv,-27.22617872,152.8997664
Yandina_EGX_20202021.csv,-27.40982786,152.6303524
Yatala_EGX_20202021.csv,-26.97074145,152.7888923
Zillmere_EGX_20202021.csv,-27.63288057,153.1180383
Acacia Ridge_EGX_20202021.csv,-27.44104468,153.1589911
Albany Creek_EGX_20202021.csv,-27.65783333,152.7454304
Alexandra Headland_EGX_20202021.csv,-26.55524324,152.9570803
Algester_EGX_20202021.csv,-27.76072274,153.2285685
Amamoor_EGX_20202021.csv,-27.35863357,153.0305542
